"name","st_x","st_y"
"中国邮政储蓄银行24小时自助银行(凤溪营业所)","121.228695","31.200077"
"中国邮政储蓄银行(草棚支行)","121.287127","31.741659"
"中国邮政储蓄银行24小时自助银行(财富一零八广场支行)","121.361991","31.135529"
"中国工商银行24小时自助银行(康健支行)","121.411325","31.147208"
"中国邮政储蓄银行ATM(罗香路储蓄所)","121.439325","31.135196"
"中国邮政储蓄银行24小时自助银行","121.615875","31.13526"
"中国工商银行24小时自助银行(龙州路支行)","121.421624","31.139301"
"中国工商银行24小时自助银行(康桥路)","121.548555","31.145475"
"浙商银行(上海奉贤支行)","121.487311","30.916859"
"中国工商银行(龙水南路支行)","121.455895","31.153646"
"中国工商银行24小时自助银行(软件园支行)","121.532041","31.214617"
"中国工商银行(上海市虹桥枢纽支行)","121.32062","31.193892"
"中国邮政储蓄银行(光明营业所)","121.516524","30.906076"
"中国邮政储蓄银行(广中路支行)","121.478717","31.275972"
"中国邮政储蓄银行(沪办大厦营业所)","121.490164","31.291571"
"中国邮政储蓄银行24小时自助银行(南东路支行)","121.36248","31.385555"
"中国邮政储蓄银行24小时自助银行(石家街营业所)","121.579804","31.343488"
"中国邮政储蓄银行(三墩营业所)","121.75838","30.990806"
"中国工商银行24小时自助银行(西藏中路支行)","121.473453","31.235859"
"中国工商银行(金茂大厦支行)","121.505041","31.235737"
"中国工商银行24小时自助银行(淮海中路第三支行)","121.463055","31.218326"
"中国工商银行24小时自助银行(红旗东路)","121.358713","30.761186"
"中国工商银行24小时自助银行(三泉支行)","121.443053","31.310749"
"中国工商银行离行式自助服务区(上海分行虹口支行夏阳湖皇冠假日酒店)","121.137722","31.151385"
"中国工商银行24小时自助银行(七莘路支行)","121.361843","31.13819"
"中国银行24小时自助服务","121.489456","31.265726"
"中国建设银行(临港新城支行)","121.926576","30.895023"
"中国工商银行24小时自助银行(浦兴路支行)","121.587393","31.26972"
"中国工商银行ATM(墨玉南路)","121.165155","31.281792"
